ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0061726,mitochondrion disassembly,6/109,92/18614,1.663409373632669e-5,0.001368748284589168,0.0011393728867513998,FBXO7/CSNK2A2/ATG5/RB1CC1/RETREG1/ATG9A,6
GO:0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,6/109,93/18614,1.7697323334228315e-5,0.0014060218262780015,0.0011704001130658438,AKT1/RNF180/ANKIB1/ARIH1/NUB1/UBQLN1,6
GO:0006986,response to unfolded protein,7/109,142/18614,2.019686225201616e-5,0.001551119020954841,0.0012911818604622262,FBXO6/BAK1/OS9/AMFR/BFAR/HSPA5/DERL1,7
GO:0034620,cellular response to unfolded protein,6/109,98/18614,2.3867632270741585e-5,0.0017739040242512457,0.00147663246170768,BAK1/OS9/AMFR/BFAR/HSPA5/DERL1,6
GO:0022411,cellular component disassembly,12/109,488/18614,2.882392424426442e-5,0.0020753225455870383,0.0017275391438503218,DNASE2B/GFM2/FBXO7/CSNK2A2/ATG5/RB1CC1/PRKAA2/RETREG1/EPG5/LAMP2/UBQLN1/ATG9A,12
GO:0032869,cellular response to insulin stimulus,8/109,211/18614,3.402726228205492e-5,0.0023757215847834707,0.0019775971890878493,AKT1/SLC27A4/RPE65/MAPK1/SIRT1/RPS6KB1/LPIN2/RAB8A,8
GO:0062197,cellular response to chemical stress,10/109,349/18614,3.887213798394659e-5,0.002585141829160158,0.002151922703184306,TNFAIP3/SUMO4/AKT1/MAPK1/SIRT1/FBXO7/OXR1/ATG5/PRKAA2/UBQLN1,10
GO:1901655,cellular response to ketone,6/109,107/18614,3.927081771727671e-5,0.002585141829160158,0.002151922703184306,AKT1/SIRT1/RPS6KB1/USP8/CREB1/PRKAA2,6
GO:0000045,autophagosome assembly,6/109,109/18614,4.358894230479817e-5,0.002789692307507083,0.0023221945286357394,RAB23/C9orf72/ATG5/RB1CC1/UBQLN1/ATG9A,6
GO:0006979,response to oxidative stress,11/109,434/18614,4.8140422376064134e-5,0.0029272667107998014,0.002436714157107657,CYP2E1/TNFAIP3/SUMO4/BAK1/AKT1/MAPK1/SIRT1/FBXO7/OXR1/PRKAA2/UBQLN1,11
GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,6/109,111/18614,4.8279572487149506e-5,0.0029272667107998014,0.002436714157107657,AKT1/RNF180/ANKIB1/ARIH1/NUB1/UBQLN1,6
GO:0034599,cellular response to oxidative stress,9/109,290/18614,5.2214356426652615e-5,0.003084663518128401,0.0025677343430326877,TNFAIP3/SUMO4/AKT1/MAPK1/SIRT1/FBXO7/OXR1/PRKAA2/UBQLN1,9
GO:1905037,autophagosome organization,6/109,115/18614,5.887248848946772e-5,0.003391055336993341,0.0028227808954686896,RAB23/C9orf72/ATG5/RB1CC1/UBQLN1/ATG9A,6
GO:1903050,regulation of proteolysis involved in protein catabolic process,8/109,230/18614,6.259076478223224e-5,0.003473363694958083,0.00289129598511222,AKT1/RNF180/ANKIB1/ARIH1/CSNK2A2/CSNK2A1/NUB1/UBQLN1,8
GO:0009267,cellular response to starvation,7/109,170/18614,6.384516653490022e-5,0.003473363694958083,0.00289129598511222,MAPK1/SIRT1/HSPA5/RRAGB/ATG5/PRKAA2/LAMP2,7
GO:1901800,positive regulation of proteasomal protein catabolic process,6/109,117/18614,6.482406201527672e-5,0.003473363694958083,0.00289129598511222,AKT1/RNF180/ANKIB1/ARIH1/NUB1/UBQLN1,6
GO:1903894,regulation of IRE1-mediated unfolded protein response,3/109,14/18614,6.783608982314848e-5,0.003509344198401221,0.0029212468610594964,BAK1/BFAR/HSPA5,3
GO:2001234,negative regulation of apoptotic signaling pathway,8/109,233/18614,6.854187887502384e-5,0.003509344198401221,0.0029212468610594964,TNFAIP3/BAK1/AKT1/SIRT1/CSNK2A2/CSNK2A1/RPS6KB1/RB1CC1,8
GO:0072594,establishment of protein localization to organelle,11/109,453/18614,7.070471646507308e-5,0.0035413840594680085,0.0029479174690929784,TNFAIP3/TOMM40L/VPS28/AKT1/RAB23/FBXO7/CSNK2A2/VPS37A/HSPA5/TIMM22/LAMP2,11
GO:0031398,positive regulation of protein ubiquitination,6/109,121/18614,7.816738907778038e-5,0.003831865200749064,0.0031897196618077463,NDFIP2/RNF180/HSPA5/DERL1/UBQLN1/TRAF6,6
GO:2001233,regulation of apoptotic signaling pathway,10/109,381/18614,8.09057741290733e-5,0.0038834771581955185,0.0032326824662976222,TNFAIP3/CTSL/BAK1/AKT1/SIRT1/CSNK2A2/CSNK2A1/RPS6KB1/RB1CC1/UBQLN1,10
GO:0006690,icosanoid metabolic process,6/109,125/18614,9.361480386921496e-5,0.004332608991249045,0.003606548602912903,CYP2E1/GGT5/SIRT1/CYP2C8/CYP2D6/PLA2G4A,6
GO:0044282,small molecule catabolic process,10/109,388/18614,9.402363262259212e-5,0.004332608991249045,0.003606548602912903,AKT1/CPT1C/SLC27A4/FAH/SARDH/BLMH/GNPDA2/ADH4/ACOXL/LPIN2,10
GO:1903201,regulation of oxidative stress-induced cell death,5/109,79/18614,1.0026480869585913e-4,0.004529610181083519,0.0037705362527111533,AKT1/SIRT1/FBXO7/OXR1/UBQLN1,5
GO:0008286,insulin receptor signaling pathway,6/109,128/18614,1.0672104804775925e-4,0.004705301432774958,0.0039167850925237455,AKT1/SLC27A4/RPE65/MAPK1/SIRT1/RPS6KB1,6
GO:0006401,RNA catabolic process,9/109,319/18614,1.0823827080602117e-4,0.004705301432774958,0.0039167850925237455,RNASEH2A/AKT1/PATL2/DAZL/ZC3H14/DIS3/PAN2/NUDT12/TNRC6C,9
GO:0031667,response to nutrient levels,11/109,477/18614,1.1171465936946754e-4,0.004766492133097281,0.00396772143023723,AKT1/SLC27A4/MAPK1/SIRT1/RPS6KB1/HSPA5/RRAGB/ATG5/BNIP2/PRKAA2/LAMP2,11
GO:0031647,regulation of protein stability,9/109,322/18614,1.1617966312732895e-4,0.0048668717062793805,0.004051279353454419,SEL1L/MAPK1/SIRT1/FBXO7/USP8/NEDD4L/CREB1/DERL1/LAMP2,9
GO:1905897,regulation of response to endoplasmic reticulum stress,5/109,82/18614,1.1971057671229568e-4,0.004900881996746403,0.0040795901855226364,BAK1/SIRT1/BFAR/HSPA5/UBQLN1,5
GO:0072329,monocarboxylic acid catabolic process,6/109,131/18614,1.212457785653407e-4,0.004900881996746403,0.0040795901855226364,AKT1/CPT1C/SLC27A4/FAH/ACOXL/LPIN2,6
GO:0044539,long-chain fatty acid import into cell,3/109,17/18614,1.2511441681362087e-4,0.0049700623506652155,0.004137177267412292,AKT1/SLC27A4/RPS6KB1,3
GO:0044270,cellular nitrogen compound catabolic process,11/109,486/18614,1.3162935949875178e-4,0.005140238038730917,0.00427883484400938,RNASEH2A/AKT1/PATL2/DAZL/DNASE2B/ZC3H14/CYP2D6/DIS3/PAN2/NUDT12/TNRC6C,11
GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,4/109,46/18614,1.5022177041186223e-4,0.005668201737297399,0.004718322169844601,FBXO39/FBXO6/FBXL17/CUL5,4
GO:0043488,regulation of mRNA stability,7/109,195/18614,1.5045307489434888e-4,0.005668201737297399,0.004718322169844601,AKT1/PATL2/DAZL/ZC3H14/DIS3/PAN2/TNRC6C,7
GO:0031929,TOR signaling,6/109,137/18614,1.5498989125422577e-4,0.005668201737297399,0.004718322169844601,AKT1/SIRT1/C9orf72/RPS6KB1/RRAGB/PRKAA2,6
GO:1903052,positive regulation of proteolysis involved in protein catabolic process,6/109,137/18614,1.5498989125422577e-4,0.005668201737297399,0.004718322169844601,AKT1/RNF180/ANKIB1/ARIH1/NUB1/UBQLN1,6
GO:1903322,positive regulation of protein modification by small protein conjugation or removal,6/109,139/18614,1.6775419033319782e-4,0.006039150851995121,0.005027107480050764,NDFIP2/RNF180/HSPA5/DERL1/UBQLN1/TRAF6,6
GO:0044804,autophagy of nucleus,3/109,19/18614,1.7677351751532714e-4,0.006144092850852993,0.005114463255781322,ATG5/RB1CC1/ATG9A,3
GO:0140354,lipid import into cell,3/109,19/18614,1.7677351751532714e-4,0.006144092850852993,0.005114463255781322,AKT1/SLC27A4/RPS6KB1,3
GO:0006402,mRNA catabolic process,8/109,268/18614,1.802919774393465e-4,0.006144092850852993,0.005114463255781322,AKT1/PATL2/DAZL/ZC3H14/DIS3/PAN2/NUDT12/TNRC6C,8
GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,6/109,141/18614,1.8133607372309183e-4,0.006144092850852993,0.005114463255781322,AKT1/RNF180/ANKIB1/ARIH1/NUB1/UBQLN1,6
GO:0032868,response to insulin,8/109,272/18614,1.9942153440055194e-4,0.006658945148679299,0.005543036394779645,AKT1/SLC27A4/RPE65/MAPK1/SIRT1/RPS6KB1/LPIN2/RAB8A,8
GO:0036498,IRE1-mediated unfolded protein response,3/109,20/18614,2.070839606795617e-4,0.006816020648653001,0.005673789118167842,BAK1/BFAR/HSPA5,3
GO:0042594,response to starvation,7/109,207/18614,2.1719209156956137e-4,0.006950146930225964,0.005785438462569311,MAPK1/SIRT1/HSPA5/RRAGB/ATG5/PRKAA2/LAMP2,7
GO:0043487,regulation of RNA stability,7/109,207/18614,2.1719209156956137e-4,0.006950146930225964,0.005785438462569311,AKT1/PATL2/DAZL/ZC3H14/DIS3/PAN2/TNRC6C,7
GO:1900407,regulation of cellular response to oxidative stress,5/109,94/18614,2.2780628408942038e-4,0.007189940801945542,0.0059850475791048885,AKT1/SIRT1/FBXO7/OXR1/UBQLN1,5
GO:0061013,regulation of mRNA catabolic process,7/109,212/18614,2.512475342683599e-4,0.00782262593181488,0.00651170707591681,AKT1/PATL2/DAZL/ZC3H14/DIS3/PAN2/TNRC6C,7
GO:0009410,response to xenobiotic stimulus,10/109,440/18614,2.6057870843028766e-4,0.008004977922978437,0.006663500445754164,CYP2E1/BAK1/BLMH/RPS6KB1/CYP2C8/CYP2D6/HSPA5/ATG5/CREB1/PRKAA2,10
GO:0036473,cell death in response to oxidative stress,5/109,99/18614,2.900426941513675e-4,0.00872913360619143,0.007266301823136324,AKT1/SIRT1/FBXO7/OXR1/UBQLN1,5
GO:0034655,nucleobase-containing compound catabolic process,10/109,447/18614,2.9542643671810856e-4,0.00872913360619143,0.007266301823136324,RNASEH2A/AKT1/PATL2/DAZL/DNASE2B/ZC3H14/DIS3/PAN2/NUDT12/TNRC6C,10
GO:0045862,positive regulation of proteolysis,9/109,365/18614,2.955175439596057e-4,0.00872913360619143,0.007266301823136324,CTSL/BAK1/AKT1/RNF180/SIRT1/ANKIB1/ARIH1/NUB1/UBQLN1,9
GO:1903202,negative regulation of oxidative stress-induced cell death,4/109,55/18614,3.015201494164305e-4,0.008793701572853871,0.007320049463514144,AKT1/SIRT1/FBXO7/OXR1,4
GO:0051098,regulation of binding,9/109,369/18614,3.200813826876775e-4,0.009194938167621337,0.00765404666548158,SUMO4/ACTB/AKT1/AMFR/C9orf72/PPP2CA/CYP2D6/DERL1/TRAF6,9
GO:0019369,arachidonic acid metabolic process,4/109,56/18614,3.2325954495543766e-4,0.009194938167621337,0.00765404666548158,CYP2E1/CYP2C8/CYP2D6/PLA2G4A,4
GO:0044242,cellular lipid catabolic process,7/109,222/18614,3.32263406247078e-4,0.00933579131699107,0.007771295586420746,AKT1/CPT1C/SLC27A4/PLA2G4A/BCO2/ACOXL/LPIN2,7
GO:0016241,regulation of macroautophagy,6/109,159/18614,3.4678506016987864e-4,0.009558631655709415,0.00795679224995548,AKT1/SIRT1/C9orf72/ATG5/PRKAA2/UBQLN1,6
GO:1902882,regulation of response to oxidative stress,5/109,103/18614,3.484917791144058e-4,0.009558631655709415,0.00795679224995548,AKT1/SIRT1/FBXO7/OXR1/UBQLN1,5
GO:0097352,autophagosome maturation,4/109,58/18614,3.700719480821414e-4,0.00993220807515182,0.008267764580101708,ATG5/EPG5/LAMP2/UBQLN1,4
GO:0006633,fatty acid biosynthetic process,6/109,161/18614,3.707334611384794e-4,0.00993220807515182,0.008267764580101708,CYP2E1/SIRT1/CYP2C8/CYP2D6/PLA2G4A/PRKAA2,6
